comments,sentiments,compound
 do you run online training apart from Nairaland,neu,0.0
 yes I do!,pos,0.4574
 which platform?,neu,0.0
 WhatsApp,neu,0.0
 in not currently on WhatsApp but later,neu,0.0
 no problem,neg,-0.5994
 thanks for educating people on this platform,pos,0.4404
its my pleasure,pos,0.5719
 I want to make some clarification from you,pos,0.0772
 what is that?,neu,0.0
" financial literacy and financial education,   are the the same?",neu,0.0
 not at all,neu,0.0
  what is the difference,neu,0.0
 financial literacy allows you to read numbers  financial education place you on the track of financial independence,neu,0.0
 really,neu,0.0
 exactly!,neu,0.0
 you cannot afford to settle for just a certificate in accounting or business administration,neu,0.0
 thanks so much to this,pos,0.4404
 its my pleasure,pos,0.5719
 what should we expect from the business development training you run online,neu,0.0
 I will update on when I'm on,neu,0.0
 no problem,neg,-0.5994
 I have read 50% of the book,neu,0.0
" good!,   I hope you are paying attention to details",pos,0.4926
 I'm doing that!,neu,0.0
 good keep on doing,pos,0.4404
 OK thanks,pos,0.7034
 it has always been my pleasure,pos,0.5719
this is fantastic,pos,0.5574
 thanks mr. distinct,pos,0.4404
 it been long I have come across one of your post. but I couldn't follow up before I went offline since February. now that I'm back. we are together. This Nigeria tire me,neg,-0.1901
 heeyah thanks for following,pos,0.4404
 I have questions for you prof,neu,0.0
 OK go ahead,pos,0.4466
"Thank you,   very helpful!",pos,0.7082
Now I have to learn and work without distrustions on forums ,neu,0.0
 why are we not learning financial education in school,neu,0.0
 never in the school system,neu,0.0
 why did you say this?,neu,0.0
 there is a conspiracy behind the school system,neg,-0.5267
 what is the conspiracy?,neg,-0.5267
 the political class actually wanted to create an economy of dependent population,pos,0.2732
 only God can save us,pos,0.6486
 yes but you have to do your own part,pos,0.2144
 what part are you talking about?,neu,0.0
 commitment to learning and practice till you succeed,pos,0.7003
 I'm doing that. that is why I'm here,neu,0.0
good keep doing that,pos,0.4404
 thanks bro,pos,0.4404
 its my pleasure,pos,0.5719
 please can. you walk through the basic training on business development,pos,0.3182
 yes I can if you are ready,pos,0.6369
 I'm ready how do we get started?,pos,0.3612
 let's reprogram your mind with a personal finance book I will recommend,pos,0.3612
 OK! how do we go about that?,pos,0.4981
 I'm going to recommend a book for you on personal finance,pos,0.3612
 what is name of the book?,neu,0.0
"This is really interesting,   I have read Rich Dad poor Dad,   but not Richest man in Babylon",neg,-0.3437
 wao! I love that,pos,0.6696
" thank you sir,   please I have a question. How can I have a source of income,   because presently am a housewife with kids with only school certificate?",pos,0.5859
"I actually love reading,   that's why I bought  Rich Dad poor dad.",pos,0.6908
 let's chat on WhatsApp'. Zero Seven zero five four four one four one eight three,neu,0.0
 please what is the name of the book?,pos,0.3182
" sir I am not on WhatsApp oo,   how about Facebook?",neu,0.0
 when you on WhatsApp you could join the Class. That is the available medium,pos,0.296
what is the name of the book?,neu,0.0
 the richest man in the Babylon,pos,0.5267
 OK!,pos,0.3595
 who is the author of the book?,neu,0.0
 George S Clason,neu,0.0
 where can I download the book?,neu,0.0
"Are you a student or a prospective of either secondary or tertiary institution,   you need to ""Build Your Capacity for after school life"". Get this book as a guideline to a secured,   better and fulfilled future. The book worth more than the price (the price has been discounted for charity sake). Many graduates live with regret of failing to utilise their studenthood to prepare for the after-school life,   the earlier you get the secret to having a relevant future the greater your chance of becoming successful. ",pos,0.926
"The author is a second class upper graduate,   University of Ibadan. Feel free to contact him for counselling and advice,   he majors in career and personal development.",pos,0.5106
"Contact the number to get a free counseling session,   and your question would be awesomely answered. ",pos,0.5574
"Are you a student or a prospective of either secondary or tertiary institution,   you need to ""Build Your Capacity for after school life"". Get this book as a guideline to a secured,   better and fulfilled future. The book worth more than the price (the price has been discounted for charity sake). Many graduates live with regret of failing to utilise their studenthood to prepare for the after-school life,   the earlier you get the secret to having a relevant future the greater your chance of becoming successful. ",pos,0.926
"The author is a second class upper graduate,   University of Ibadan. Feel free to contact him for counselling and advice,   he majors in career and personal development.",pos,0.5106
 Well done bro,pos,0.2732
 I tried dot com it doesn't go,neu,0.0
 beg your pardon pdfdrive dot net,pos,0.3182
 OK! i will get back to you when I finish download,pos,0.4981
 no problem!,neg,-0.636
 I'm done with the download. what next?,neu,0.0
 you start reading and update me about your progress,pos,0.4215
 OK! thanks for the info,pos,0.729
 its my pleasure,pos,0.5719
 moving further 30% covered,neu,0.0
 good! I love that! Stick to the rules,pos,0.8264
 thanks bro,pos,0.4404
 its my pleasure,pos,0.5719
 what are the benefits of financial education?,pos,0.3818
 part of it is financial freedom which is most important will still have more,pos,0.7425
 financial freedom is the most important. There are others,pos,0.7425
 OK! any other,pos,0.4981
 you have more time to spend with your family,neu,0.0
 really! but rich people don't usually have time for family,pos,0.7656
 yes and no,pos,0.128
 what is yes what is no?,pos,0.128
 yes in the sense that when there is no separation between you and your business. You build your business on yourself,pos,0.128
The key to success is through education; it is the very key of transformation. Equip yourself with continuous learning and you'd find out there is no limit for to what you can achieve.,pos,0.3612
"PLEASE,   kindly support our channel which aims to provide free learning for students at home,   and as well as those seeking to increase their knowledge.",pos,0.9396
 keep it up,neu,0.0
 really!,neu,0.0
 exactly!,neu,0.0
 but business people don't usually have time for friends and family,pos,0.631
 yes and no,pos,0.128
 what is yes what is no?,pos,0.128
 yes in the sense that you build the business on you,pos,0.4019
 hmm,neu,0.0
 that is the truth,pos,0.3182
 what is the no?,neg,-0.296
 no in the sense that you have business system in place. You business runs on structure,neg,-0.296
 hmmm,neu,0.0
But what about ngo funding for education in Pakistan? should i go and donate to them too?,neu,0.0
 exactly,neu,0.0
 thanks bro,pos,0.4404
 its my pleasure,pos,0.5719
 I have read have of the book you recommended,pos,0.2023
 you mean half of the book,neu,0.0
 yea,neu,0.0
 yes,pos,0.4019
"PEL has just commenced free chemistry tutorials on its YouTube channel,   and so,   we're enjoining you all,   especially science lovers to come on board with us. Be assured that we are out to serve to the best of our ability. Kindly support us by watching,   liking,   subscribe and share our videos to family and friends.",pos,0.9815
We hope to continually provide more educational contents to you freely.,pos,0.7003
Thank you!,pos,0.4199
PEL,neu,0.0
(...the making of great minds.),pos,0.6249
 the book is great,pos,0.6249
 sure,pos,0.3182
 how come book like this are not read,pos,0.3612
Please those of you that have watched the video should explain  to me please.,pos,0.5574
 why don't you take your time to watch,neu,0.0
 how come book like this are not read in school,pos,0.3612
 never in the school,neu,0.0
 why?,neu,0.0
 there is a conspiracy behind school,neg,-0.5267
 what is the conspiracy?,neg,-0.5267
 they wanted an economy of dependent graduate,neu,0.0
Good! All this hateful kids on nairaland can finally resume.,neg,-0.1511
Thunder should strike them if that they no agree ,neg,-0.0516
it's lie...,neu,0.0
I thought they reached a deadlock.,neg,-0.25
they should hold press conference asap so we go kw watsup,neu,0.0
Finally! I pray they fix resumption date asap. Can't wait to resume and start enjoying.,pos,0.7177
Team 2020,neu,0.0
LIKE if you're HAPPY.,pos,0.8256
My God! See as we are begging for our rights. Is it good?,pos,0.6476
but i pray so,pos,0.4497
Let's hear from ASUU chairman to know if 'Agrees to call off'  means 'call off',pos,0.2023
time to finish up my Post Graduate Studies....,neu,0.0
"I saw ""Deadlock""  in more than 3 threads few minutes ago",neu,0.0
False alarm  ,neg,-0.34
the strike has been suspended. But we await press conference from ASUU chairman. I guess he is tabulating or preparing his speech and will be read to journalists before midnight.,neg,-0.4939
They should wait for all the agreement to be completely concertised before calling off the strike. ,pos,0.4019
The Federal government is a very irresponsible government. ,neg,-0.4927
They give more money and attention to frivolities and self rewarding of themselves with the latest Prado and Lexus jeeps.,pos,0.5267
They pay Boko Haram repentees and reward mediocrity against meritocracy on daily basis. ,pos,0.5574
Nobody should pity them.,neg,-0.296
hallelujah. let me start arranging my bags oh.. ,pos,0.6124
This news should be a great relief. Nigerian students have seen and suffered enough under the watch of federal governmentand ASUU.,pos,0.6124
I just hope this news is true... 8 months nor be beans. I know say dem go still.go on strike sometime next year but please make I still.get small progress,pos,0.81
Finally.....,neu,0.0
So what's the resolution made as regards IPPIS?,neu,0.0
"No mind them,   name sake",neg,-0.296
Which school?,neu,0.0
"We,   The Non-academic Students Union Of Universities,   say no to this decision. ",neg,-0.296
Finally my sugar mummy will pay me.,neg,-0.1027
Finally,neu,0.0
People should wait first. They've just agreed to suspend. These newspapers aren't saying more than that ,neg,-0.0516
what's the essence of going to school?  i tell my supervisor to Bleep herself,neu,0.0
This your matter pass be careful,pos,0.1779
you see am finish ooo,neu,0.0
A good news finally. Thank God.,pos,0.7579
All plans failed  due to this stupid strike!!,neg,-0.855
We'll have to wait till next week for the actual suspension.,neu,0.0
I can bet with my left ball SSANU & NASu are warming up......student always on the receiving end,pos,0.1531
Finally. Thank God oooo,pos,0.5574
"commendable,   now lets see when the strike will be finally over ",neg,-0.128
Thank God,pos,0.5574
Good. Students can finally resume back to their respective schools.,pos,0.6908
be deceiving yourself.,neg,-0.34
please next should be opening of the land border .,pos,0.3182
Nigeria my country I love you with my whole heart.,pos,0.6369
What an education structure.,neu,0.0
"And another 4-month strike will happen in 2022,   and on it goes ad-infinitum... as long as Nigeria remains 1.  ",neg,-0.128
Oh my gosh!... finally I can see my Unical again,neu,0.0
bunch of fools,neg,-0.4939
"Many nairaland Peeps don't want to start school again,   ntoor school set,   make I hear word here and have some peace..",neg,-0.0572
They need to get back to school,neu,0.0
They should not agree ooo.,neg,-0.2755
We the students disagree,neg,-0.3818
It better not be true,pos,0.1451
Then strike your own strike and stay hungry for 8 months ,neg,-0.25
"They have taken Nigerians for granted for too long. They are not indispensable if we have the right government. A situation where a university lecturer wants to be paid like an oil worker is seeking undeserved merit. They can't just stampede everyone suddenly,   if most of them had gotten the qualifications to be absorbed by oil companies,   they wouldn't be in teaching. They can't be deceiving everybody and be resulting to blackmailing government every time.",pos,0.8647
who asked you,neu,0.0
"ASUU gets more than is budgeted for education for a year,   just wondering.",neu,0.0
You sure bro? ,pos,0.3182
This one they say they will get to their members and get back to government before announcing a date to call off. Or am I not reading well.,neg,-0.2057
Don't worry. It's all ended,pos,0.3412
Thank you very much.,pos,0.3612
"it's not about calling it Off now,   hope it won't repeat again,    it's better to address the issues totally  or scrap ASUU,    to save the future of  our unborn children",pos,0.8402
Be happy for the person.,pos,0.5719
Lazy Nigerian Student spotted.,neg,-0.3612
Hallelujah. Praise the Lord.,pos,0.8225
YEYE SET OF PEOPLE!ITS NOW THE TURN OF SSANU AND NASU!CAN ASUU EVER FUNCTION SATISFACTORILY WITHOUT THE OTHER TWO?NO!OBASANJO WULD AV PROSCRIBED THE UNION OR AV ALL THE MEMBERS SACKED!!,pos,0.5815
Thats nice ,pos,0.4215
its Ok. Work a little more on your blog.,pos,0.296
Finally you want to go and fuck ,neg,-0.4939
"Common sense you people don't have,   read you guys can't read",neu,0.0
ASUU is expected to report the agreement to its organs and then communicate their decision to the government after which a date for the calling off of the strike would be announced.,pos,0.4019
A source informed our correspondent that ASUU insisted that the agreement should not be announced until it has been approved by its members.,pos,0.7184
Buy Portable solar  inverter and powerbank for you comfort,pos,0.3612
We don't want to start school again.,neg,-0.0572
They have a case to answer in court,neu,0.0
They are now smiling.,pos,0.4588
How many ASUU members?  Remember all the teaching and non teachingvstsff will share the 40 billion. Each lecturer will receive about 1million for the excess work done from 2012 to 2016. Some will get nothing. Think and know before you write rubbish.,pos,0.296
Let's strike again,neg,-0.128
This news is cheering.,pos,0.5106
I can't wait any longer to resume school,neu,0.0
It took so long.,neu,0.0
"But then,   better late than never.",pos,0.4404
I hope I never see you finish,pos,0.4404
"They know they are dealing with eggheads who are learned yet the federal governmentmust waste time and drag their feet. If not for the #EndSars problem,   the strike would have dragged on further.",neg,-0.7964
Hope the strike is truly off,pos,0.6486
My thoughts exactly!,neu,0.0
Nice one,pos,0.4215
Not to think that I just had my final PhD defense to do before all this imbroglio started and I had to miss promotion as a result. There is God ooooo,pos,0.25
you people should call it off! I have to collect my result now I have missed upgrading in my office because of this strike. I did not own you people oo!,neg,-0.5282
NMA strike loading and it will be ASUU strike Pro Max since federal government has refused to have sense,neg,-0.4939
resumption is still next year,neu,0.0
Another agreement?,pos,0.4939
"The agreements they have been entering for years are yet to be fulfilled,   now this one",pos,0.5994
They should better resolve the whole issue before calling off the strike to avoid embarking on another strike in future,pos,0.3182
You have been heard. My point still remains.,neu,0.0
"Mehn... Can't wait to resume nd fuck any pussi i get hold of on campus,   i really miss that stuff:",neg,-0.659
NMA strike loading and it will be ASUU strike Pro Max since federal government has refused to have sense,neg,-0.4939
"This is not the first time ASUU would call off strike but I bet you,   ASUU will be on another strike next year. It's an annual event. Why? Because this is not the first time federal governmentwould make such offers and fail to keep them. ",neg,-0.775
"Meanwhile,   those that were supposed to graduate this year,   whatsup for them?",neu,0.0
How many oil workers are professors?,neu,0.0
You will say hazard... Cultist that threaten and kill lecturers nko... The dangerous chemicals lecturers are expected to work with nko?,neg,-0.886
Nah  F.T.C make you spill this rubbish...........who be hateful children......,neg,-0.5574
"Everything must be next year,   I can't go back to school this year again",neu,0.0
Yeah you are right Bwana,pos,0.296
you don't have sense.,neu,0.0
"what is professorship,   if you stayed in academic you will earn it. If they sack them,   willing qualified graduates from different companies,   banks,   oil sectors etc can be encouraged to take to part-time lecturing. This used to happen in the past",pos,0.3612
Which next meeting again?This strike is not ending soon.,neg,-0.128
"Did you read the part that says """" I am positive that all the issues would be resolved at our next meeting.",pos,0.6486
"Good,   my wife can nw go and do her final clearance but they should make it next year January",pos,0.2382
How much for biznes card and logo? Hope i can keep it in case i want to use the logo for something else later in the nearest future. please reply 08034094707,pos,0.6705
I am telling you.,neu,0.0
Stop spreading fake news,neg,-0.6486
I'm sure you saw my source,pos,0.3182
"Wait they are trying to turn our head with English,  they say they would pay before December 31,  and ASUU say until they pay. So we are still at square sit down till next year,  if government no pay quick ASUU no go give date and still  aoz.",neg,-0.6808
Dey use English pin student down,neu,0.0
University of Uyo accepted the federal government offer and vote for the suspension of strike.,pos,0.1531
What's your source?,neu,0.0
I'm waiting for Unibadan to say nonsense o,neg,-0.4019
"10 to 4,   still good score ",pos,0.4404
Any news from ABU?,neu,0.0
Yes boss still moving,pos,0.4019
Thank God say MOUAU accept the offer. I swear for the VC,pos,0.7184
".. not really,   I work,   but I just happen to be a type that values my Academics so much over any thing else..  ",pos,0.5499
Good one,pos,0.4404
"Haryoife,   e bi like say the score reach 18 to 4 o,   in favour of the Accepting Party ",pos,0.8689
How many Electoral College remain  make Acceptees win?  ,pos,0.5859
 I learn many things this year 2020 sha.,neu,0.0
protest kwa?... some of us just want graduate try relocate. make we the pay tax the see the dividends,neg,-0.2732
... But in Nigeria  majority vote matter..,neu,0.0
Check it.,neu,0.0
"I  hear rumour say UI accept o,   let's wait for update from Haryoife",pos,0.3818
"There are 70 university under ASUU,   so for the strike to be called off atleast 36 university will accept the offer,   once 36 university accept the offer then no need to bother one self to check what others school voted for",neu,-0.0422
