comments,sentiments,compound
"In this COVID-19 Pandemic era where people are being laid off from their jobs,   it will be a succour to some helpless Lagosians.",neg,-0.4588
They should really implement this recruitment plan. ,neu,0.0
Lots of folks lost their jobs in this pandemic even when unemployment abounds.,neg,-0.6369
God will help us.,pos,0.5859
"When we cry wolf for fun and likes,   we are not taken seriously when the real wolf comes.",pos,0.5451
I pray there won't be ghost employee this time,pos,0.5043
"No I'm not jumping to conclusion,   but worship centers are in full operation. Banks and market too,   so what are you saying?",pos,0.296
You comment nonsense about others after rushing to book FTC.,neg,-0.4019
The virus actually have no effect in children..about 80 infected almajiri children in Kaduna have fully recovered without any symptoms..,neg,-0.6597
Na adults like you suppose the fear,neg,-0.1779
Education is the key...,neu,0.0
I hope some private school teachers will take full advantage of this golden opportunity.,pos,0.7717
"Dear God ,   can you please loan this governor to some states like Kogi for 6 month only kpere !",pos,0.8313
Small children cannot protect themselves like adults.,neg,-0.5096
"are they in full operation in Lagos,   Bank closes by what time? and how many staff are there? how quick is their services? that's not full operation and to my knowledge,   church and mosque are still locked in lagos.....so I should ask what r you saying",neu,0.0
Just 2000? Out of 1 million Lagosian unemployed youths?,neu,0.0
"exactly my thoughts,   it seems the virus is not real because why will the government risk the lives of innocent children because of the economy,   this is a case of attempted murder until things start happening then the nigerian government commit murder be that..they should put the lives of this innocent kids first.",neg,-0.7579
"Not just being proactive, but results counts. ",neg,-0.1695
what happens to education when the health is at serious risk and damage please think about it.,neg,-0.5106
"At least they should let the curves reduce before thinking of anything... we've not carried out great numbers of test yet and we are thinking of reopening Schools,   who  reason like that? It seems coro  scam for Nigeria o",neg,-0.6698
"and you think the number of teachers will be up-to 50000 as you say,   have you considered that some are retiring on a yearly basis,   and some are leaving the job while some die during active service to the job",neg,-0.2263
I feel it's same rate when you want to buy $,pos,0.0772
The rate I quoted is what you will be charged on your card if you make online purchases.,neg,-0.2023
I hope they now have sense now? not just open schools for white board teachings.,pos,0.4404
"Also make sure professional teachers are recruited,   make sure that the government buys medical / lab equipments for the medical students. ",pos,0.5574
"If this country had ever sponsored the MECHANICAL  engineering students,    Nigeria wouldn't have been begging up and down for a COVID19 VENTILATORS but they have no quality and sound educational background. ",neg,-0.4215
Keep employing without giving them tools to do their job..,neg,-0.2584
And tomorrow you send your children abroad.,neu,0.0
Ask your students studying in Europe and others how their school system are.,neu,0.0
Oooh. No electricity self. It would take them another 100 years to fix power supply Egypt did in 18 months this Nigeria politicians are so ANNOYING,neg,-0.7655
"Nice one,   employment loading....... to the unemployed",pos,0.4215
Let's not deceive ourselves please.,pos,0.0762
"Over two months now,    still 200,   300 we  here. ",neu,0.0
"See,   when the Government has had enough money from all these,   they will flatten it themselves.",neu,0.0
And this can only happen when all sectors are reopened.,neu,0.0
"That way,   there will be no one to be deceived again.",neg,-0.6249
People are already living their lives in the US.,neu,0.0
Thanks boss,pos,0.4404
You're pained ,neg,-0.4215
"I get you Bros,   too much corruption from our leaders.. it's high time we stop calling on coro to Rather it's time to start calling on our government to be truthful and honest as well,   stop corruption",pos,0.6124
"I attended one of the public schools in lagos. Thank God for the extra efforts and grace of God,   maybe I will have become a vulcanizer or battery charger....",pos,0.8176
"Lagos Public Schools are wishy-washy. They are filled with all kind of unqualified teachers probably because of the salary being paid to those teachers is small. So,   you can't get the best in lagos public school.",neg,-0.5216
"More so,   the lagos state government uses all this vacant opportunity to reward their party loyalists...you will see so many of them at Alausa who are not qualified to handle the position given to them.....some cannot even read and write and they put them in the office.....",pos,0.8481
Is like no more cash out again. Sanwo-olu the richest governor so far.,pos,0.5719
See what coronavirus have caused and is already causing.,neu,0.0
For you to compare church and market to schools it shows you lack wisdom.,pos,0.2732
"Let's take a university for example,  do you know the number of people that go and come out from a university daily?",pos,0.0772
"Oga don't you know the children ll go back home and infect their parents and older siblings,   also the teachers are at risk,   primary schools should be the last to open when the coast is finally clear.",pos,0.128
Yes they lead in the covid 19 cases and crime rate also .,neg,-0.2023
So people don't quit jobs? No one retires?,pos,0.3067
First tell us how does recruitment of new 2000 teachers NOT impact the students lives?,neu,0.0
If the pandemic won't be over soon then opening schools and putting children at risk isn't in any way a welcome development. The only way to cope with it is by staying at home until there is a vacin. We as a people muat take every opportunity to grow. Schools can be opened only learning will be online. The government should make internet and PCs readily available and affordable for pupils of public schools. Right thinking people learn to always see the goodness in every bad situation like this. Rushing to resume normalcy when the odds are against you is foolhardiness and the repercussions wouldn't be funny. If the old heads can't think constructively in the right directions we should. We owe ourselves the truth. This isn't about any ministry granting permissions for their own selfish interests. Its about doing things rightly. This isn't it,pos,0.4929
God will surely see us through,pos,0.6124
no mind the fool... students alone for lecture hall is another story.,neg,-0.4939
Finally someone who thinks properly.. In a rush to resume normalcy we invite catastrophe. Except the virus isn't real in Nigeria the rebound will spell doom finally.,neg,-0.7579
thunder fire your papa and mama. ,neg,-0.34
This information is not true. They are round off the 2000 ( tescom and subeb) employment that was put to halt due to the pandemic,neg,-0.3252
"allow those people... Even if the figures are true in Nigeria,   you keep schools and other sectors close means they will remain close for more than 3years.... People think vaccines will be available this year or next.",pos,0.5719
"A university is a controlled system,   some with smaller campus population.... You want to compare that to markets such as main market in Onitsha or Alaba international market lagos?",pos,0.0772
Between schools and markets where can social distancing be practised. Can you practise social distancing in the markets?,neu,0.0
what is this one saying...... Tomorrow people like you will be voted to power with this kind of policies and decision?,pos,0.3612
Are you one of the teachers?,neu,0.0
"Thier eopening of schools should be a national,   not a state decision as I was telling someone today,   the primary reason being that a lot of kids attend schools across state lines at various levels and it cannot work with the national lockdown in place.",neu,0.0
don't you get it? Opening in one state is opening in all states.,neu,0.0
"there is nothing like covid-19 in Nigeria,   you people should try and you your sense for once and stop believe anything fantastically corrupt Nigeria government told you.",neg,-0.5122
"we're all watching CNN,   BBC and follow up the trends all over the world,   but only a mature & non-gullible person will know,   that their is nothing pandemic or dangerous virus in Nigeria,   but big scam,   all the evidences have being released",pos,0.2455
"No,   it is not coming down.",neg,-0.296
"The person probably just added small naira to it and yes,   it fluctuates sometimes but it has been between 440 - 460 for weeks now.",pos,0.2144
Health and education are equally important.,pos,0.2023
"What are your thoughts,   do you think it is time to sell? Is it going higher or lower?",neg,-0.3736
We hope this will not be an audio jobs to be shared among APC bigwig the way they shared palliative ,pos,0.7717
this idiot is funny. you feed from this platform. atleast now they know you are a robber and a petty scammer,neg,-0.7003
"I'm embarrassed on behalf of your family members,  I know you grew up in poverty but it is not an excuse to remain jobless and commit your life to displaying nuisance on nairaland,   we here see you like less than human,  just move on beforethe countless of people looking for you put you where you belong,  have mercy on your poor mother,  you're no match for anybody.",neg,-0.2223
"Hoodlums invade the thread,   make I  background  observe ",neu,0.0
thank God we reach graceland ,pos,0.5719
"continue updating,   I  follow ",neu,0.0
That's too small dear.. I'm looking at a 95% possibility here,neu,0.0
"please make them call off the strike,   with what they be gotten from the FG,   continuing with the strike il loose the momentum of their reasons for the strike. Students n even the lecturers r tired of staying at home.",neg,-0.6597
"This government is scam,   let them start paying immediately and see how ASUU won't agree,  they will promise you something and fail later,   please if you  pally with this government please tell them make them start implementation of the promises because they have never kept any promise in their tenure",pos,0.1255
"Very few rejected the offer,   so therefore,   strike suspended.",neg,-0.8281
Students should go back to schools.,neu,0.0
I just  follow this strike news back to back like say  my salary Icollect from fg,pos,0.2204
Those ones have moved on..Till further notice.,neu,0.0
Me have not moved on ooi...,neu,0.0
please... ASUU should stop stressing my plans,neg,-0.5719
Any update on Ebonyi State University?,neu,0.0
Can you substantiate the veracity of this post? Unilag hasn't even met. Meeting tomorrow. Kindly refrain from misleading the public.,pos,0.128
"Uniport is very useless... come to think of it that's my school,   shey I supposed  final year now,   still stuck in 400l I never even do IT self...",neg,-0.25
If them like make reject if other schools agree make I see whether them no go resume,neu,0.0258
This is why this guys are hard to bribe. The decision is base on majority carry the vote. If you like bribe the chairman...it dose not affect the outcome. You have to bribe more than 50% of ASUU members from each university...so federal governmentis better off with making a good negotiations.,pos,0.5423
How I wish this country is structured this way...so that you can't bribe just one person to silence am entire ommunity....corruption would reduced.,pos,0.5093
"I don't need to confirm,   I have a memo to that effect. Making spurious and mendacious  claims could slid this nation into something else one day. Information needs to be verified before pushing it to front Page. Tomorrow is Unilag. This therefore subjects one or two other institutions on the list to be allegedly false",neu,0.0
ASUU members have the experience to tell you otherwise. Let they do since they do not have problem doing all that.,pos,0.3089
"Untill they start doing,   strike will not be suspended.",pos,0.2626
This one they are accepting the Federal Government's offer. Let them call the strike off next year; this year is almost over.,pos,0.2732
And sir we are here to share informations so I don't think there is anything wrong if you show us your own information or your seen memo,neg,-0.2263
..  We'll be glad if you do,pos,0.4588
WHO'S WITH ME??,neu,0.0
You are not alone my bro,pos,0.1877
From the update I have last night..  Unilag agreed ...  Let's see today if it's not real I'll remove it from the list of course...  ,pos,0.2732
I'm here for you so Wetin I  do if I no update you wella,neg,-0.296
"NLC should be the joke,   not ASUU. The ASUU type of union is what we need to augment the turn around we crave for in this country.",pos,0.296
 There is division is OAU ASUU. I'm sure those clamoring for continuation of strike are the very extremist among the lecturers.,pos,0.2023
Bros forget o!,neg,-0.2942
Bribe pass bribe o.,neg,-0.3818
"E get bribe  you go see,   you no go mind turning into a dictator overnight!!!!",neg,-0.6331
unilag wen meet since monday,neu,0.0
I think this vote for and against should become the basis for the suspension of this long disagreement,neg,-0.3612
I'm with you ... ,neu,0.0
"In 1981,   he osinbajo was employed as a law lecturer at the University of Lagos,   Nigeria. From 1983 to 1986,   he was Senior lecturer of Law at the University of Lagos. ",neu,0.0
he therefore as an asking deputy president of the federal government(GCON) should be able to descern the activities of ASUU over the years and should be able to recommend proscription accordingly.,pos,0.3612
"If your parents sent you abroad to school,   always thank them.",pos,0.3612
Are you for real? which Friday are you talking about please,pos,0.3182
"You're  wrong,   the ASUU NEC gave all units a 3-day window to have their Congress,   which is from Monday to Wednesday,   they'll not go against that by holding theirs tomorrow",neg,-0.4767
Peace ,pos,0.5423
"O my God,   so when are they gonna resume school?",pos,0.2732
Let's pray for next month ... ,pos,0.3182
That's if they call of strike on Friday..  Which school you ?,neg,-0.128
"Once you join politics in this country,   you are trading a lot of things for power and money.",pos,0.296
"Unical o,   what if they don't call off,   what if majority rejects government's offer,   what's the verdict gonna be",neg,-0.3818
"Chaii,  so like this na,  only one week I get for house be that,  e go tight gan",pos,0.4201
With the way things are now ,neu,0.0
Majority are accepting,pos,0.3818
Harvard University rejects the offer. Says Trump must appear before ASUU pannel ,neg,-0.4939
"You gats  prepare be that. Once  call the strike off on Friday,    to order members of their union to resume on Monday.",neg,-0.128
ASUU will call off the strike soonest...,neg,-0.128
"For this kind hard time  him I want prepare,  the only thing way I go prepare  my tfare way I go use go back,  because no joy now like this",pos,0.8126
"So if majority rejects the offer they'll continue strike,  but if majority accepts,  they'll suspend the strike?",neg,-0.4993
"There are 70 Universities Under ASUU,  so for the Strike to be called off,   at least 36 Universities will accept the offer,  once 36 Universities accept the Offer then no need to bother one self to check what others school voted For.",neu,-0.0422
"You only need 36 Universities to accept,   more than 15 have already Accepted ,   Remaining about 20 to go.",pos,0.5719
Thanks dear,pos,0.6705
How many universities have to accept the offer before the strike will be called off?,pos,0.2732
Wow! How many have accepted the offer right now?,pos,0.7345
"Don't take the information you are getting here seriously,   ASUU doesn't take serious decisions and make it open to the public. Some of the information here is wrong. ",neg,-0.5541
"okay..i agree, give us the correct info sir",pos,0.3612
He said they don't make it open to the public and you're asking for info,neu,0.0
I see the strike coming to an end,neg,-0.128
"I only asked because that's where I'm aspiring to study in. Perhaps,   my brother is a medical student at EBSU.",neu,0.0
.. I sabi naa.. I be Great FUTA pikin ooo.. ,pos,0.6249
which dept you ?,neu,0.0
You don't get the point..,neu,0.0
I mean there is no point in giving people bribe to keep mute if the amount of bribe you will give out to achieve it is totalling upto 80% of the actual fund that can settle the issue. ,neg,-0.34
So I didn't say the cannot bribe..ASUU power is not place in the hands of a few individuals (go and learn about how they operate). So if you want to bribe them.. ,neg,-0.0609
 all i can say is good luck ,pos,0.7096
OAU ASUU should swallow their pride...CONUA will take over,neu,0.0
 it's like Conua is not strong yet,neg,-0.0521
Strike will end when government implements all the agreement reached. Government cannot be trusted,pos,0.1396
 I school in Udus..any problem?,neg,-0.4019
"I am not saying UNN is insignificant with regards to overall reputation,   but with regards to aluta.",neg,-0.1779
"As for your last paragraph,   don't be so sure. All those notable universities in the Southwest can actually hold those other ones to ransom.",pos,0.4572
"Moreover,   there is no ASUU rule to the regard that they need a number of votes to call off strike.",neg,-0.34
please quote me if any thing show face...,pos,0.3182
"But some pipo  talk say the info on this thread  fake news say ASUU no  make their decisions public,    true",neg,-0.3612
"No,   it is in the University of Ibadan.",neg,-0.296
Even the current ASUU president is a University of Ibadan professor.,neu,0.0
"My brother, such is life.",neu,0.0
I know this guy from BbNigeria lockdown thread and  my fellow icon... I just hope whatever u're saying isn't borne out of tribal sentiments because I'll be very dissapointed in you it if that be the case,pos,0.4404
My Uniuyo is always sitting on the fence when others are acting,neu,0.0
"The rate at which people come here with ""authority"" to spit out false information is alarming...",neu,0.0
You know google is just at your fingertip o,neu,0.0
And how many universities are under ASUU?,neu,0.0
"Chief,   this is not like United States election where they count electoral points. ",neg,-0.5334
"Here,   it's based on the majority. ",neu,0.0
It doesn't matter the school weight.,neu,-0.0191
Did you place the calls?,neu,0.0
UI ASUU congress is still in progress!,pos,0.4753
Make this school do resume please. Only God know when  first semester results go komot. I need to run clearance go service.,pos,0.5267
"I know,   but i am sure the strike will be suspended on Friday",neg,-0.4497
This year's academic calendar isn't funny and the worst in history ,neg,-0.7584
I don't know where the OP got his own information from.,neu,0.0
so the few who rejected the offer wouldn't be considered?,neg,-0.5106
 you've said it all,neu,0.0
Thanks my man,pos,0.4404
 unfortunately he's now useless to us,neg,-0.6369
" mine is worst, just hoping on God for a miracle",pos,0.5574
 Ignorant comment.,neg,-0.2732
Go and get yourself exposed and properly informed before disgracing yourself in the public,neg,-0.0772
that guy you quoted is a dumb fellow,neg,-0.5106
"Easy, bro.",pos,0.4404
SACK WHO EMASS YOU DONT HAVE LECTURERS AGAIN IN NIGERIA O ALL OF THEM HAVE IMMIGRATED ITS NOT THE ONES WHO HAVE DECIDED TO STAY YOU WANT TO SACK? FUNNY GUY NYSC CORPER THEY GO CALL TO REPLACE THEM DONT WORRY,pos,0.6814
"Federal University of Agriculture,   Abeokuta voted against suspension of the strike",neg,-0.128
I dropped this information yesterday evening but one person was here asking me for my *source* and concerned about me dropping false information,neu,0.0
there are alot of toxic people here on NL. don't let it get to you,neu,0.0
As far UNICAL accepted the offer there's high chances they'll call it off,pos,0.4404
oou University the current chairman,neu,0.0
ok let me get my glass,pos,0.296
So the issue was ippis all along  ,neu,0.0
"apart from the additional 15bn the federal governmentoffered,   it's pretty much the same thing the zones are deliberating on. Anyway I hope they do the needful this week.",pos,0.7269
You don't need to bribe everyone.,pos,0.1511
That's clearly going to be a waste of resources.,neu,-0.0258
You just need to bribe a SELECTED INFLUENTIAL members of an organization whom you can INFLUENCE with your bribe.,pos,0.2577
I doubt.. What I foresee is ASUU chapters New suggestions pulled together based on FGs offer and tabled on Friday.,neu,0.0
Then left for federal governmentto see if they can find a way round it,neu,0.0
Highly possible. But Ngige is looking forward to just hearing 'we're suspending our industrial action' ,neu,0.0
They could suspend it 'conditionally' though and threaten to embark again if federal governmentfails to deliver in 1 week  ,neg,-0.5994
Bro you have become the plug for bloggers and micro-blog pages  ,neu,0.0
 Go and learn about how ASUU operate ,neu,0.0
Bribe is only useful when given to someone with power. Now when the power is the people (not given to anyone...influential or not). Bribe loses it's purpose.,neg,-0.25
A University consisting of say 330 lecturers of which 300 are ASUU members. Votes are taking to see those in support or against a motion. same with other public universities. ,pos,0.4019
You as an influential person can not come and tell me blue is black just like that. These are educated people not illitrate. If am to accept blue to be black then money has to change hand...which will result in bribing over 50% members a cross each school.,pos,0.7906
Again I will say to you; go and learn about how ASUU operate...because if you know this then there is no point arguing except you justgist...no be today ASUU and federal government go head to head.,neg,-0.6369
I admire their system dose not mean I vote for strike to continue...don't get it twisted.,pos,0.3818
" I am an aspirant also,   what course are you going for and what year is your bro.",neu,0.0
 I'll drop my email in another thread so you could reach me so we could talk.,neg,-0.1868
No problem,neg,-0.5994
I think federal governmentis ready to fulfill their promises with the below circular sent out to all universities,pos,0.7906
If this is real then NIGERIA STUDENTS GATHER HERE LETS DO THANKSGIVING,neu,0.0
Interesting... So professor Biodun Ogunyemi lecturers in UI too... No wonder him office  always  locked for OOU... This is why they are fighting against ippis... He will collect salary from both institutions o,neg,-0.5719
 so there's going to be a conditional suspension probably,neu,0.0
"Bro,   That's my school too..",neu,0.0
They are even threatening the state government with internal strike too!,neg,-0.636
He might be on sabbatical there.. Lecturers are entitled to sabbaticals when the time reach for them to go on sabbatical,pos,0.296
Conditional suspension!!!!,neu,0.0
If it's sabbatical at UI... I can agree because he is a full time lecturer in oou,pos,0.3612
 I'm sure of it,pos,0.3182
"No matter what happen,   school will resume on January",neg,-0.2732
"Yeah,   it seems so",pos,0.296
"I know for a fact he is a full-time lecturer in OOU too. Bro,   ""siddon look"" is the only solution attimes to some of our issues in this country. Some of those Nigerian academics are just greedy.",neu,0.0
But is the IPPIS against one lecturing in one Federal University and also another State/Private University? Or two Federal Universities?,neu,0.0
"EKSU rejected,   but they have resumed already,   what's the point exactly??  ",neg,-0.3632
Eksu rejected the offer?,neg,-0.5106
How come they announced the resumption of their academic activities albeit voting for the strike to continue.   ,neg,-0.128
I  tell you,neu,0.0
WE WON,pos,0.5719
 I got the info from someone but I'm very sure of it authenticity.,pos,0.5251
 You can wait for when the source is available before updating.,neu,0.0
Chai...we are indeed powerless in the hands of these monsters.,neg,-0.4939
"Sorry,   my lady.",neg,-0.0772
I assure you that this is not borne out of tribal sentiments.,pos,0.34
I have always known UNN to not be a force when it comes to ASUU.,neu,0.0
"And you know that when we hear ASUU,   the first thing that usually comes to our heads is STRIKE.",neg,-0.3034
OAU is always at the forefront while University of Ilorin has been known to be very neutral until recent years.,neu,0.0
"So,   judging by past trends,   you could immediately forcast that OAU would likely reject the offer,   and that other chapters are more likely to be influenced by notable mentions like UI.",neg,-0.0516
"UNN is hardly a talking point when strikes are mentioned in Nigeria,   at least not in comparison with a university such as UI or OAU.",neg,-0.3612
Do you know that you will live long if you calm down and just wait till Friday ?,pos,0.3182
UDUS actually agreed for the strike to b called off,pos,0.1531
Nice one,pos,0.4215
Unijos rejects offer and vote to continue,neg,-0.4939
Udus lecturers are the laziest set of lecturers I know .......yeye pple.,neg,-0.5719
"ASUU Federal University Lokoja,   FUL Accepts Federal Government Offer.",pos,0.3182
Why are you not updating the list? It is still 23 till now,neu,0.0
"Based on the Info I got from a lecturer,   they were good with it and willing to call off provided federal governmentkeep with their part of the bargain.",pos,0.5719
So many fake updates here,neg,-0.5233
" if I send you a text through your email,   will you be able to reply?",neu,0.0
What is the current score?,neu,0.0
"God help us,   so sad that a promising young lady kissed the dust so early. Rest in peace",pos,0.858
Oh Christ! So sad for a young girl.God help us in this cursed world.,neg,-0.2465
Ohhhh,neu,0.0
SO sorry. God gives life and takes away life,pos,0.1898
A dream cut short. Rest in peace Chisom ,pos,0.5267
"I swear,   it's just so bad",neg,-0.6899
 even the way she explain the cml cancer .u know she was a brilliant chap.may God console the family,pos,0.128
Had to stop the video. ,neg,-0.296
"Even as a man,   it was getting way too emotional for me.",pos,0.1531
Village People Crew (VPC)...can you people now see that this girl had an underlying illness right from time before her death!,neg,-0.784
I am saying this because of those who came here spewing trash about her being killed by village people because of her feat in the WAEC Exams especially those who were bashing South Easterners about killing people who they see that are succeeding!,neg,-0.7901
..who told her all these at this her young age?....,neu,0.0
Our president must be in shock seeing this young lad doing what he can't do for 8years ,neg,-0.3818
Rest on dear......,neu,0.0
You sound poor in knowledge. Why not applaud her and stop been condescending,neg,-0.777
"Her death gon put a smile on Gods place,  mansion things up thr. Gold gold gold everywhere.",neg,-0.34
i tell u...this life is really rubbish....why did she have to endure so much pain,neg,-0.5542
I don't wanna cry but tears betrayed me ,neg,-0.7948
rest in peace brain,pos,0.5423
A gem she was.... rest in peace  little one,pos,0.5423
rest in peace  dear,pos,0.7269
"Chisom,   may your soul rest in peace.",pos,0.5423
Heaven just gained a soul. ,pos,0.7096
"I encourage you all to know that,   heaven is the real deal. Do all you can to make peace with your creator. ",pos,0.8779
You can't afford not to make heaven oh.,neg,-0.4023
rest in peace ,pos,0.5423
Couldn't watch this. rest in peace girl. Sleep well.,pos,0.6808
"Correction,    would have been a world success. We don't appreciate talents here except she's from the North . May her soul rest in peace",pos,0.5365
So sad reminds me of my late sis she couldn't achieve her dreams of becoming a barrister because of uniabuja and ASUU incessant strikes she died waiting to attend law sch ,neg,-0.8945
Very smart girl jst look at her analysis rest in peace young champ,pos,0.8622
This is so sad. rest in peace intelligent damsel,pos,0.363
"I wish they could do a movie about her,   like the Hollywood movie,   clouds.",pos,0.6369
"thats why i hate people shouting village people this village people that,  the first day this news came out because the  dad said chisom shouted my leg is paining me all most everyone here turnd to her innocent villager people accusing them of killing chisom,  if killing someone is that easy no one will go to a hired assasin when you can use otumokpo",neg,-0.93
"So sad. I was almost in tears that I had to stop watching it. God bless your dad and give him the fortitude to bear the loss. What a wonderful child you were ,   and what caring father,   I cannot begin to imagine the pain of the parents. It is well.",pos,0.2698
Another Okonjo Iweala in the making gone!!!! rest in peace NNE. we love you but God loves you more.,pos,0.9289
Rest in peace brilliant mind.,pos,0.8074
Couldn't watch till the end.,neu,0.0
So eloquent even in her condition.,neu,0.0
Somewhere in France they Use HIV to fight the white blood cell.,neg,-0.3818
This is my prayer. I don't want my fiancee to travel from South-South to the North this festival period only to come back home after two weeks. They should call off the strike but please postpone the resumption till January. ,pos,0.3847
God bless ASUU,pos,0.5994
God bless Nigeria,pos,0.5994
"since all this NL boys will be waiting for your number,   add up Anthony Aaron Junior in Facebook",pos,0.0772
is that your selfish reason?,neg,-0.4767
"Calm down bro,   it does not matter OK? If school resume next week Monday,   your fiancee can still travel next year or even November next year if she want,   she can even drop out and come back after school",neg,-0.251
"time for school no they pass,   like me for example I am planning to resume next year December,   your fiancee can also imitiate me and resume next year December,   time for school no  pass",neg,-0.2263
" I'm going for criminology. My bro is in 300l. What of you ,   what course are you going for?",neu,0.0
 I don't understand you sir.,neu,0.0
"If you did not understand me,   that means you need schooling more than your fiancee,   if your fiancee is resumming,   please resume with her,   you need to be taught use of English and good comprehensive and reading skill",pos,0.7351
"Guys,   Every schools' calendar is different.. if ASUU calls off the strike tomorrow,   some schools might choose to resume next month and some other next year,   so it depends on your respective schools' calendar",pos,0.3182
"Me now,   I'm 101% sure we are resuming next month..",pos,0.3182
What if ASUU proposes that they are paid before they resume  ??,neu,0.0
That means there's greater possibility of the strike been called off tomorrow,pos,0.25
 What do you mean sir?,neu,0.0
What I mean is that you should register for jamb and school in any of this university where they will teach you good comprehensive skill,pos,0.5994
I don't see any reason why ASUU shouldn't call off the strike tomorrow.,neg,-0.128
Oh for real ?? That's good news then,pos,0.504
" I hope they do,   I really do.. man  grow grey hair",pos,0.4767
Let's hope and pray.,pos,0.6369
 How do you know about that?,neu,0.0
be calming down.,pos,0.4019
"The way I am just following this post ehn,    like say my life depends on it.",pos,0.3612
So apparently you are done with your own education but you want our lives to be on hold because of your fiancee?,pos,0.1154
Oga I don't mean to be disrespectful but if your fiancee is tired of schooling then she should drop out.,neg,-0.7579
"How is he putting your lives on hold?   Man said he wishes they call off the strike but schools should resume January ,   is that a totally bad idea?   I mean we'd only have two weeks in December before festivities kick in.",neg,-0.329
"You've been at home for eight months ,   staying another 2/3 weeks would it be the end of you?    abi e get something  you forget for school  you must carry this December?",neg,-0.3094
"that is an average Nigerian for u,  very selfish...if fed government should pay ASUU and they refuse to resume this yr,  they should withhold their December salary. Once government pay them,  let them resume work.",neg,-0.4588
"Well for me,   I'm sorry if I seem like a nerd ooo but I hope we resume immediately after the strike is called off because Christmas and new year are just festivals that come and go my six year education shouldn't suffer because of enjoyment of 72 hours  ",pos,0.9483
God cannot answer this prayer. don't waste time and energy praying it. I need this resumption even though I am no prepared for the exams I am to face,pos,0.7738
Oga can you listen to yourself?,neu,0.0
Someone that has graduated is telling you a student to stay at home for another one month after being at home for more than eight months.,neu,0.0
If you don't see anything wrong with that statement then we shouldn't be having this conversation.,pos,0.3724
"Na one thing for student to talk like that  another thing entirely for a graduate to talk like that. If school resumes this year and y'all don't want to go then it's cool and fine,   everyone can start whenever he/she wants.",pos,0.7832
Even me a lecturer is following the thread back to back looking for updates just as you are ,neu,0.0
There are Just two public holidays in December. ,pos,0.3818
"And i don't know why everyone is thinking that immediately ASUU suspends the strike then Zoom,   it's off to school. ",neg,-0.128
"Resumption will be at the discretion of individual schools. Some schools might want to resume next week,   some the week after that and perhaps some will resume next year.",pos,0.0772
 ok we  patiently wait,pos,0.296
"Based on my opinion,   I think higher institutions have resumed since the federal governmentordered the reopening... it is only academic activities that have been affected due to the strike. So,   any institution may decide to bring its students back at anytime upon the suspension of the strike.",neg,-0.3818
Don't forget that they are missing you....,neg,-0.1366
 irony of life! ,neg,-0.126
Do you see any stamp there? Don't you know what a school bulletin is and how schools release information?,neu,0.0
 Please explain further sir. I don't get it.,pos,0.3182
"Which school do you lecture,   and what do your school vote for?",neu,0.0
"If you have to cross ten states before getting to your school,   you would have understood my point of view. Knowing fully well that you still have to travel to and from in less than a month.",pos,0.3384
"If at this point you have not still get it,   then I am sorry to say that your problem is bigger than African ",neg,-0.4588
only Jesus can help you at this point  ,pos,0.4019
 Africa? I'm not really good at proverbs. I'm a straight forward person.,neg,-0.1835
Yes sir ,pos,0.4019
"Really? Well,   me I am not really good in English,   I am a circle forward person  ",neg,-0.0592
"That means no need to be going to hospital again na,   since we already have a doctor here,   please drop your phone number so that I can be calling you anytime I am feeling headache in my stomach ",neg,-0.0516
 Okay sir. I'm grateful.,pos,0.5994
 be greateful to God not me,pos,0.2732
"Well,  you know say things hard for Nigeria and my visa money must complete #Vision2026.....no be for free   ",pos,0.6124
Just joking though still in my 100 level,pos,0.2263
 Thanks a lot.,pos,0.4404
 Sure bro I know . ,pos,0.3182
Its purely on the discretion of various institutions like you said,pos,0.3612
"Be deceiving yourself. School is not break. Some of our mates have almost completed another session. If you don't want to resume,   apply for suspension of studies",neg,-0.3863
bro where did you get this Info?,neu,0.0
"I am not suprised,   AAU is my school,   I know they will reject it,   they are the most corrupt school in Nigeria,   in fact,   if you see where AAU want to carry out their corrupt act enh,   even devil  carry chair sit down to learn 1 or 2 things  ",neg,-0.7783
thank you o. Are you a medical student? ,pos,0.3612
People are just acting like kids. Undergraduate studies is a point of transitioning. What's the point of growing into an adult if you still regard festivals with so much importance,pos,0.8166
Did i tell you I'm an undergraduate?,neu,0.0
"Okay, so kindly stop meddling into it then",pos,0.4432
Can you point out where i said school shouldn't resume? ,neu,0.0
"If you can't, then you have a bad reading culture. ",neg,-0.5423
"I have wards in school, so it's effectively part of my business.",pos,0.4902
I'm not surprised.,neg,-0.1695
Where have you been?,neu,0.0
Thinking about you ,neu,0.0
God will punish them.,neg,-0.3182
Besides the votes coming in from schools that are accepting are getting higher and once it's 36 votes then uniben and other schools that rejected will bow their heads in shame,neg,-0.5859
School will soon resume,neu,0.0
Stop being a simp and respect yourself.,pos,0.2263
"Okay,   I'm sorry. It's the silly reasons I've been seeing around that's making me offensive.",neg,-0.3182
I hope school resumes sha,pos,0.4404
calm down buddy ,pos,0.3182
That will be nice,pos,0.4215
Maybe you can share some wisdom with me  ,pos,0.6808
please I want to leave ooo,pos,0.34
I pray Nigeria gets better but they will frustrate the goodness out of somebody ,pos,0.3818
"don't mind him, all this while he keep quite now that God has done it for student he is talking rubbish nonsense",neg,-0.0865
